Smiles,Standard Value
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CCCN(S(=O)(=O)C(C)C)C1,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CCCNC1,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CCC[NH+](C1)C,1
Clc1cnc2[nH]c(cc2c1-c1nc(NCc2ccccc2)ccc1)C1CCNCC1,1
Clc1nc(-c2c3cc([nH]c3ncc2)C2CCNCC2)c(F)cc1,0
Clc1ncc(Nc2nc-3c(CCc4nc(sc-34)C)cn2)cc1,0
FC(F)(F)C(O)C(Nc1nc(NCc2cccnc2)c2ncn(c2n1)C(C)C)CC,0
FC(F)(F)C(O)CNc1nc(NCc2cccnc2)c2ncn(c2n1)C(C)C,0
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1cc(ncc1)C,1
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1cn(nc1)C,1
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1cn(nc1)CC1CC1,0
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncnc(c1)C,1
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1onc(n1)C,1
FC(F)(F)CC(=O)N1CCN(CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)C#N,1
FC(F)(F)CC(=O)N1CCN(CC1)[C@H](C)c1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncnc(OCC2CC2)c1,0
FC(F)(F)CC(=O)N1CCN(CC1)[C@H](C)c1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncnc(c1)C,0
FC(F)(F)CC(=O)N1CCN(CC1)[C@H](C)c1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1onc(n1)C,0
FC(F)(F)CC(=O)N1CC[NH+](CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1cc(ncc1)N(C)C,1
FC(F)(F)CC(=O)N1CC[NH+](CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1cn(nc1)CC,0
FC(F)(F)CC(=O)N1CC[NH+](CC1)Cc1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncnc(N(C)C)c1,0
FC(F)(F)CC(=O)N1CC[NH+](CC1)[C@H](C)c1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncnc(c1)COC,0
FC(F)(F)CC(=O)N1CC[NH+](CC1)[C@H](C)c1cc(ncc1)Nc1[nH]c2cc(ccc2n1)-c1ncncc1OC(C)C,1
FC(F)(F)CCC1c2[nH]c(cc2C(=O)NC1)-c1nc(ncc1)N,1
FC(F)(F)CNc1nc(nc2[nH]ccc12)Nc1ccc(cc1)C(=O)NCCC,0
FC(F)(F)Oc1ccc(cc1)-c1cc2c([nH]cc2-c2nc(ncc2)N)nc1,1
FC(F)(F)c1cc(NC(=O)Nc2ccc(Oc3ncnc(NC)c3)cc2)ccc1C[NH+]1CC[NH+](CC1)CC,1
FC(F)(F)c1cc(ccc1)-c1cc2c([nH]cc2-c2nc(ncc2)N)nc1,1
